Referee,Apps,Fouls pg,Fouls/Tackles,Pen pg,Yel pg,Yel,Red pg,Red,Country
Anthony Taylor,31,21.26,0.6,0.29,2.87,89,0.19,6,ENG
Michael Oliver,26,23.15,0.63,0.12,4.35,113,0.19,5,ENG
Chris Kavanagh,25,21.4,0.61,0.12,4.44,111,0.2,5,ENG
Simon Hooper,24,19.96,0.57,0.21,4.67,112,0.08,2,ENG
Peter Bankes,23,20.09,0.55,0.26,3.74,86,0.13,3,ENG
Samuel Barrott,23,20.7,0.57,0.22,4.61,106,0.04,1,ENG
Craig Pawson,22,22.59,0.64,0.23,4.32,95,0.14,3,ENG
Robert Jones,22,24.82,0.67,0.27,4.23,93,0.18,4,ENG
Andy Madley,20,22.75,0.62,0.2,3.65,73,0.05,1,ENG
Darren England,20,23,0.68,0.2,4.1,82,0.2,4,ENG
Stuart Attwell,19,21.26,0.6,0.11,3.89,74,0.16,3,ENG
Tony Harrington,18,22.61,0.67,0.22,4.06,73,0.17,3,ENG
John Brooks,16,22.63,0.64,0.19,5.38,86,0.06,1,ENG
Jarred Gillett,16,22.06,0.62,0.19,4.25,68,0,0,ENG
Tim Robinson,15,23.13,0.65,0.2,4.4,66,0.13,2,ENG
Darren Bond,14,22.29,0.67,0.36,3.93,55,0.07,1,ENG
Michael Salisbury,13,21.92,0.63,0.15,2.85,37,0.23,3,ENG
Thomas Bramall,11,20.45,0.64,0.36,3.27,36,0.36,4,ENG
Felix Zwayer,17,17.76,0.6,0.24,3.82,65,0,0,GER
Daniel Siebert,17,23.71,0.72,0.29,4.41,75,0.12,2,GER
Sascha Stegemann,16,19.81,0.68,0.13,3.38,54,0.19,3,GER
Benjamin Brand,16,21.38,0.71,0.19,4,64,0.19,3,GER
Bastian Dankert,15,21.2,0.77,0.2,3.13,47,0.13,2,GER
Harm Osmers,15,22.07,0.69,0.33,3.53,53,0.13,2,GER
Dr. Felix Brych,15,20.07,0.61,0.33,2.4,36,0.13,2,GER
Tobias Stieler,15,20.27,0.65,0.33,3.4,51,0.13,2,GER
Sven Jablonski,15,20.67,0.61,0.2,3.87,58,0.2,3,GER
Florian Badstübner,15,20.87,0.63,0.2,3.13,47,0.2,3,GER
Daniel Schlager,15,20.4,0.59,0.2,3.27,49,0.2,3,GER
Christian Dingert,14,24.57,0.76,0.29,3.64,51,0.14,2,GER
Robert Hartmann,14,20.86,0.71,0.29,3.21,45,0.36,5,GER
Tobias Reichel,14,25.14,0.88,0.5,4.21,59,0.14,2,GER
Tobias Welz,13,22.31,0.71,0.15,4.23,55,0.08,1,GER
Martin Petersen,12,23.75,0.77,0.33,4.25,51,0.42,5,GER
Sören Storks,12,20.08,0.77,0.25,4.08,49,0.17,2,GER
D.M. Jöllenbeck,12,20,0.62,0.17,4.17,50,0.25,3,GER
Florian Exner,11,22.18,0.7,0.27,4.45,49,0.45,5,GER
Frank Willenborg,10,23,0.74,0.1,4.4,44,0,0,GER
Thomas Leonard,20,24.8,0.65,0.2,3.65,73,0.1,2,FRA
Willy Delajod,19,21.89,0.61,0.32,3.68,70,0.11,2,FRA
Jerome Brisard,18,24,0.68,0.56,3.72,67,0.28,5,FRA
Eric Wattellier,18,22.22,0.62,0.28,3.44,62,0.22,4,FRA
Clément Turpin,18,22.78,0.6,0.33,3.06,55,0.17,3,FRA
Jeremy Stinat,18,22.33,0.61,0.33,3.83,69,0.11,2,FRA
